scoring_interval,end_time,points,background
1,120,1,yellow
2,120,1,yellow
3,120,1,yellow
4,120,1,yellow
5,120,1,yellow
6,120,1,yellow
7,120,1,yellow
8,120,1,yellow
9,120,1,yellow
10,120,1,yellow
11,120,1,yellow
12,120,1,yellow
13,120,1,yellow
14,120,1,yellow
15,120,1,yellow
16,120,1,yellow
17,120,1,yellow
18,120,1,yellow
19,120,1,yellow
20,120,1,yellow
21,120,1,yellow
22,120,1,yellow
23,120,1,yellow
24,120,1,yellow
25,120,1,yellow
26,120,1,yellow
27,120,1,yellow
28,120,1,yellow
29,120,1,yellow
30,120,1,yellow
31,120,1,yellow
32,120,1,yellow
33,120,1,yellow
34,120,1,yellow
35,120,1,yellow
36,120,1,yellow
37,120,1,yellow
38,120,1,yellow
39,120,1,yellow
40,120,1,yellow
41,120,1,yellow
42,120,1,yellow
43,120,1,yellow
