scoring_interval,end_time,points,background
11,120,0,yellow
20,120,0,yellow
16,120,0,yellow
18,120,0,yellow
14,120,0,yellow
19,120,0,yellow
10,120,0,yellow
15,120,0,yellow
17,120,0,yellow
13,120,0,yellow
12,120,0,yellow
11,120,0,yellow
20,120,0,yellow
16,120,0,yellow
18,120,0,yellow
14,120,0,yellow
19,120,0,yellow
10,120,0,yellow
15,120,0,yellow
17,120,0,yellow
13,120,0,yellow
12,120,0,yellow
11,120,0,yellow
20,120,0,yellow
16,120,0,yellow
18,120,0,yellow
14,120,0,yellow
19,120,0,yellow
10,120,0,yellow
15,120,0,yellow
17,120,0,yellow
13,120,0,yellow
12,120,0,yellow
11,120,0,yellow
20,120,0,yellow
16,120,0,yellow
18,120,0,yellow
14,120,0,yellow
19,120,0,yellow
10,120,0,yellow
15,120,0,yellow
17,120,0,yellow
13,120,0,yellow
