scoring_interval,end_time,points,background
11,120,1,green
20,120,1,green
16,120,1,green
18,120,1,green
14,120,1,green
19,120,1,green
10,120,1,green
15,120,1,green
17,120,1,green
13,120,1,green
12,120,1,green
11,120,1,green
20,120,1,green
16,120,1,green
18,120,1,green
14,120,1,green
19,120,1,green
10,120,1,green
15,120,1,green
17,120,1,green
13,120,1,green
12,120,1,green
11,120,1,green
20,120,1,green
16,120,1,green
18,120,1,green
14,120,1,green
19,120,1,green
10,120,1,green
15,120,1,green
17,120,1,green
13,120,1,green
12,120,1,green
11,120,1,green
20,120,1,green
16,120,1,green
18,120,1,green
14,120,1,green
19,120,1,green
10,120,1,green
15,120,1,green
17,120,1,green
13,120,1,green
